image,latitude,longitude,altitude
DJI_20250708161807_0001_V.JPG,21.70119111111111,105.24404569444445,91.285
DJI_20250708161810_0003_V.JPG,21.701089305555556,105.24398233333334,91.232
DJI_20250708161813_0004_V.JPG,21.700945055555554,105.24389252777777,91.179
DJI_20250708161815_0005_V.JPG,21.700786916666665,105.24385855555556,91.179
DJI_20250708161818_0006_V.JPG,21.70061875,105.24385358333333,91.292
DJI_20250708161821_0007_V.JPG,21.70050561111111,105.24386555555556,91.44
DJI_20250708161824_0008_V.JPG,21.70062122222222,105.24395233333334,91.649
DJI_20250708161827_0009_V.JPG,21.70076772222222,105.24404355555555,91.601
DJI_20250708161830_0010_V.JPG,21.700910722222222,105.24413475,91.496
DJI_20250708161833_0011_V.JPG,21.701056694444443,105.24422591666666,91.415
DJI_20250708161836_0012_V.JPG,21.701162916666664,105.24433697222223,91.413
DJI_20250708161839_0013_V.JPG,21.701145194444443,105.24450144444445,91.512
DJI_20250708161841_0014_V.JPG,21.70103622222222,105.24447494444445,91.555
DJI_20250708161844_0015_V.JPG,21.700890194444444,105.24438355555556,91.579
DJI_20250708161847_0016_V.JPG,21.700745055555554,105.24429369444445,91.557
DJI_20250708161850_0017_V.JPG,21.700599944444445,105.24420372222222,91.594
DJI_20250708161853_0018_V.JPG,21.7004595,105.24412302777777,91.73
DJI_20250708161856_0019_V.JPG,21.700423305555553,105.24424919444445,91.748
DJI_20250708161859_0020_V.JPG,21.700467888888888,105.24438480555555,91.74
DJI_20250708161902_0021_V.JPG,21.70061286111111,105.24447277777777,91.726
DJI_20250708161905_0022_V.JPG,21.70075686111111,105.24456202777777,91.695
DJI_20250708161908_0023_V.JPG,21.700901916666666,105.24465236111111,91.663
DJI_20250708161910_0024_V.JPG,21.701046277777778,105.24474127777778,91.639
DJI_20250708161913_0025_V.JPG,21.701114805555555,105.24486488888888,91.627
DJI_20250708161916_0026_V.JPG,21.70108336111111,105.24500277777778,91.683
DJI_20250708161919_0027_V.JPG,21.700949055555554,105.24494347222222,91.784
DJI_20250708161922_0028_V.JPG,21.70080511111111,105.24485388888888,91.723
DJI_20250708161925_0029_V.JPG,21.700660222222222,105.2447645,91.686
DJI_20250708161928_0030_V.JPG,21.700514055555555,105.24467441666667,91.759
DJI_20250708161931_0031_V.JPG,21.700401527777778,105.24464202777777,91.833
DJI_20250708161934_0032_V.JPG,21.70038675,105.24480747222222,91.909
DJI_20250708161936_0033_V.JPG,21.70048013888889,105.24491377777778,91.86
DJI_20250708161939_0034_V.JPG,21.70062513888889,105.24500388888889,91.834
DJI_20250708161942_0035_V.JPG,21.700769027777778,105.24509322222222,91.82
DJI_20250708161945_0036_V.JPG,21.700913944444444,105.24518377777778,91.797
DJI_20250708161948_0037_V.JPG,21.701053972222223,105.24527566666667,91.764
DJI_20250708161951_0038_V.JPG,21.701061833333334,105.24543725,91.745
DJI_20250708161954_0039_V.JPG,21.700980694444443,105.24548963888888,91.595
DJI_20250708161957_0040_V.JPG,21.700836388888888,105.24539722222222,91.653
DJI_20250708162000_0041_V.JPG,21.700692,105.24530777777778,91.677
DJI_20250708162002_0042_V.JPG,21.700547277777776,105.24521875,91.727
DJI_20250708162005_0043_V.JPG,21.700407055555555,105.24513430555555,91.862
DJI_20250708162008_0044_V.JPG,21.700359555555554,105.24522961111111,91.854
DJI_20250708162011_0045_V.JPG,21.700381027777777,105.24537830555556,91.941
DJI_20250708162014_0046_V.JPG,21.70052425,105.24546419444445,91.949
DJI_20250708162017_0047_V.JPG,21.700669416666667,105.24555452777778,91.981
DJI_20250708162020_0048_V.JPG,21.700814944444442,105.24564555555556,92.0
DJI_20250708162023_0049_V.JPG,21.700954888888887,105.24573086111111,92.024
DJI_20250708162026_0050_V.JPG,21.700901194444445,105.24577944444445,91.951
DJI_20250708162029_0051_V.JPG,21.700730611111112,105.2457781388889,91.977
DJI_20250708162031_0052_V.JPG,21.700569638888886,105.24575616666667,92.04
DJI_20250708162034_0053_V.JPG,21.700426444444442,105.24566544444444,92.04
DJI_20250708162037_0054_V.JPG,21.700334138888888,105.24560825,92.058
